Name,Address,Schedule,Season,Details,Website,Vendor List,Vendors
Bardstown Road Farmers Market,"1722 Bardstown Rd, Louisville, KY",Saturday 9am-12pm (Dec-Mar 10am-12pm),Year-round,Accepts SNAP + credit/debit; ~30 vendors. Two adjacent locations (1722 & 1733 Bardstown Rd).,https://www.bardstownroadfarmersmarket.com/,https://www.bardstownroadfarmersmarket.com/farmers-1,Pure Pollen Flowers; Facing West Farm; Wild Carrot Farm; Thieneman's Greenhouse; Red Clover; Happy Jack Pumpkin & Produce; Jackson Produce; Wells Made Co.; Byrnside Orchard; Full Heart Farm; Groce Family Farm; Red Hot Roasters; Lueboe Press; On Tapp Dairy
Beulah Church Farmers' Market,"6704 Bardstown Rd, Louisville, KY","Mon 3-7pm (outdoor, summer); Sat 10am-1pm (indoor, winter from Nov 15)",Mon outdoor through late Oct; Sat indoor Nov 15+,"Beulah Presbyterian Church lot; winter indoors in Ramsey Bldg. Produce, eggs, honey, jams, baked goods, crafts.",https://www.facebook.com/people/Beulah-Church-Farmers-Market-Fern-Creek-KY/100037660703524/,https://www.facebook.com/people/Beulah-Church-Farmers-Market-Fern-Creek-KY/100037660703524/,Deutsch Family Farm; B & D Creations; Jennifer's Sweets; Luke 9:23; Gutnurish; Bubba's Lemonade; Heavenly Hills Bakery; Singing Cat Jewelry
Crescent Hill Farmers Market,"201 S Peterson Ave, Louisville, KY",Thursday 3-6pm,June 4 - Oct 29,"Crescent Hill United Methodist Church. Produce, meats, flowers, baked goods, coffee, soaps.",https://www.facebook.com/crescenthillfarmersmarketlou,,Jacksons Produce; Tunes with Trent (music) - market posts no full roster
Douglass Loop Farmers Market,"2005 Douglass Blvd, Louisville, KY",Saturday 10am-2pm,Apr 4 - Dec 19,"Outdoor (church lot). Live music; produce, meats, cheese, breads, prepared foods, arts & crafts.",https://www.douglassloopfarmersmarket.org/,https://www.douglassloopfarmersmarket.org/,Barr Farms; Garey Farms; Pavel's Garden; Quarles Farm; Valley Spirit Farm; Slaughter Family Farm; Rootbound Farm; Holden Farm; Kephart Acres; Highland Moor; Bellaire Blooms; The Herb Shack; Above The Dirt; Among the Oaks Herb Farm; Urban Microgreens; Fresh Air A&A; Honeybear Farms KY; Red Hot Roasters; Sa Sa Samosa Kitchen; Galilee Kitchen; Boone Creek Creamery; Earthy Browns; Sirocco Ridge Farm; Sugar Beam Cookies; The Italian Loaf; Wiltshire Pantry; McTavish Blade & Shear; Beelight Luminaries; Lexington Pasta; Springhurst Bakery; Schulz Woodcraft; The Infinite Thread; Tuko Farm; Durt Studios; Kentucky River Wood Craft
East End Farmers Market,"13060 Factory Ln, Louisville, KY",Sat 9am-2pm; Tue 2-6pm,Feb 7 - Oct 31 (Tue may be shorter),"Free admission & parking; outdoor, rain or shine. 40+ vendors, themed events, live music, food trucks. Separate winter market follows.",https://www.eastendfm.com/,https://www.facebook.com/eastendfm/,40+ weekly (see vendor doc). Incl: Night Owl Farms; Annie May's Sweet Cafe; The Sourdough Affair Co.; BahrAss Honey; Tay's Macarons; The Doughminion; Violet & Flour; Colliver Coffee Company; Diente de Leon; Oak and Barrel Meats; Best's Kosher Hot Dog Cart; Wigglewow; Brownie & Batter; plus many makers/crafters & Young Entrepreneurs
Eastwood Village Farmers Market,"15201 Shelbyville Rd, Louisville, KY",Saturday 8am-12pm,May 10 - Sept 27,"Greenhouse parking lot of Highview Baptist Church. Live music; organic produce, meats, cheeses, flowers, crafts.",https://www.eastwoodfarmers.com,https://www.facebook.com/eastwoodvillagecouncilfarmersmarket,Bagdad Blooms; Berserker Brew; Bluegrass Beef; Boone Creek Creamery; Boxes and Boards; Bramble & Birds; Bristol Beds; Cardinal Creations; Floyds View Farm; Honey Bear Farms; Jac N Jill Bakery; Joyful Anchor; Kaufman Farms; La Tres Jolie; Modern B Candles; Renew the Halls; Scott & Sarah's Woodcrafts; Simplii Farms; Skinner Farms; Teri & Lori's Confectionery; The Berry Patch; The Block Deli; Warren Farmstead; West Sixth Brewery; Bread and Butter Bakery; Abol Coffee Truck
Gray Street Farmers' Market,"316 E Chestnut St, Louisville, KY 40202",Thursday 10:30am-1:30pm,June 4 - Sept 24,"At the new LOUMED Commons. SNAP + Double Dollars (matched to $20/wk; tripled first Thursday). Senior FMNP. Produce, meat, breads, honey, herbs.",https://publichealth.louisville.edu/community-partnerships/gray-street-farmers-market,https://www.facebook.com/UofLGSFM/,Soap Addiction; Common Earth Gardens - market posts no full roster
Jeffersontown Farmers Market,"10434 Watterson Trail, Jeffersontown, KY",Saturday 8am-12pm,Apr 25 - Oct 24,Covered Gaslight Square Pavilion. City-run; 25+ vendors. SNAP + KY Double Dollars + Senior FMNP.,https://www.facebook.com/JeffersontownFarmersMarket/,,No vendor names posted (announcements only). Contact: Barbara Carby (502) 267-8333
Norton Commons Farmers Market,"6301 Moonseed St, Prospect, KY",Sunday 12-3pm,Apr 26 - Nov 1,"North Village area; 'more of a festival than a market.' Free parking. Eggs, meats, veggies, cakes/cookies, BBQ, dog treats, crafts.",https://www.facebook.com/NortonCommonsFarmersMarket/,,Hillside Chickens; Granny's Delights; The Popcorn Station; Sweet Layers Bakery; Sunny Acres Farm; Edna Mae Culinary; Steve's Woodcrafters; Floyd's View Farm; My Oh My Lollies
Old Louisville Farmer's Market,"6th St & Park Ave (Central Park), Louisville, KY",Select Saturdays 9am-12:30pm (+ Sep 30 night market 5:30-9pm),Select Sats May 16 - Nov 14,"NEW location: moved to Central Park for 2026. EBT/SNAP accepted; live music; shaded picnic tables, splash pad.",https://www.oldloufarmersmarket.com/schedule,https://www.facebook.com/oldloufarmersmarket,Gifted Hands Pastries & More; Big Springs Farm (full roster not posted)
Phoenix Hill NuLu Farmer's Market,"1007 E Jefferson St, Louisville, KY 40204",Tuesday 3-6pm,Through end of October (2026 start TBA),In the lot of Fresh Start Growers' Supply / The Plant Kingdom / Climb NuLu. Accepts cash/card/SNAP/Senior FM. Small produce-focused market.,https://phoenixhillnulufarmersmarket.org/,https://www.facebook.com/PhoenixHillNuLuFarmersMarket,Barr Farms; Eastward Gardens; Peterson Family Farm; Full Heart Farm
Rainbow Blossom Farmers Market,"3738 Lexington Rd, Louisville, KY 40207",Sunday 12-4pm,May 10 - Nov 22,"~23 vendors: produce, organic meats, eggs, baked goods, preserves, ready-to-eat, crafts. (Reportedly no SNAP - unconfirmed.)",https://www.rainbowblossom.com/farmers-market,https://www.rainbowblossom.com/farmers-market,Annie May's Sweet Cafe; Black Lavender Co.; CeyoLanka Spices; Eastward Gardens; Full Heart Farm; Galilee Kitchen; Harper's Emporium; Indigo Upcycle; Jackson's Produce; Krafty Koala; Nine Lives Creations; Oh My Lollies; Rochner Woodworks; Sisters Soap; Soul Star; Springhurst Bakery; Sudsy Budsy Soap; The Leaf Lady Natives; The Sourdough Affair Co; Vee's Herbal Exchange; Yarn and Petals
Riverside Farmers Market,"7410 Moorman Rd, Louisville, KY",Sunday 10am-1pm (closed Sep 6),June 7 - Sept 27,"Historic Farnsley-Moremen Landing, open-air pavilion. Produce + crafts; music, kids art activity, Soul Fire Co. food truck.",https://riverside-landing.org/2026-riverside-farmers-market/,https://www.facebook.com/farnsleymoremen1837/,Soul Fire Company Food Truck; A Tri (music) - categories only
